descripcion,id,pregunta
"
                On this website is at https://prach.org. When I enter https://www.prach.org , it works perfectly, but when I type https://prach.org it DOESNT load. Why is this happening?. Can you explain why this is ...
            ",[50],"I have a website, with https domain redirection issues"
,[51],
,[52],
,[53],
"
                ```
select *
from V
where NVL(V.COD,'*') LIKE  REPLACE  ( '?CODE - (*R01* , R0* , * FOR ALL)?' ,'*', '%' )
```

With the script, users can specify the data in the way below.
 *R01*   --- for R01;
 R0* ...
            ",[54],multiple options with LIKE REPLACE
,[55],
,[56],
,[57],
,[58],
"
                ```
select *
from V
where NVL(V.COD,'*') LIKE  REPLACE  ( '?CODE - (*R01* , R0* , * FOR ALL)?' ,'*', '%' )
```

With the script, users can specify the data in the way below.
 *R01*   --- for R01;
 R0* ...
            ",[59],multiple options with LIKE REPLACE
,[60],
,[61],
,[62],
"
                Correct me if I'm wrong, when we use PAYG images (Windows Server, RHEL, SUSE, etc.), it will cost us based on the licenses field of the disks.
Let's say we have a Windows Server 2012 R2, which has a ...
            ",[63],GCP: Is changing disk licenses required for upgrading OS
,[64],
,[65],
,[66],
,[67],
"
                Correct me if I'm wrong, when we use PAYG images (Windows Server, RHEL, SUSE, etc.), it will cost us based on the licenses field of the disks.
Let's say we have a Windows Server 2012 R2, which has a ...
            ",[68],GCP: Is changing disk licenses required for upgrading OS
,[69],
,[70],
,[71],
"
                I encountered a difficult problem when deploying an RT-DETR variant model on my Jetson Nano, Below is some of my log:
[03/30/2024-17:21:45] [W] [TRT] onnx2trt_utils.cpp:366: Your ONNX model has been ...
            ",[72],Can I install tensorrt 8.6.1 on jetson nano?
,[73],
,[74],
,[75],
,[76],
"
                I encountered a difficult problem when deploying an RT-DETR variant model on my Jetson Nano, Below is some of my log:
[03/30/2024-17:21:45] [W] [TRT] onnx2trt_utils.cpp:366: Your ONNX model has been ...
            ",[77],Can I install tensorrt 8.6.1 on jetson nano?
,[78],
,[79],
,[80],
"
                I'm trying to remove value ""0"" from my list of list
a subset of that list is:
[([29.7589382, -95.3676974], '0', '0', '0'), ([45.4208777, -75.6901106], '0', '0', '0'), ([30.5254797, -91....
            ",[81],removing item from list of list is removing entire list not just item
,[82],
,[83],
,[84],
,[85],
"
                I'm trying to remove value ""0"" from my list of list
a subset of that list is:
[([29.7589382, -95.3676974], '0', '0', '0'), ([45.4208777, -75.6901106], '0', '0', '0'), ([30.5254797, -91....
            ",[86],removing item from list of list is removing entire list not just item
,[87],
,[88],
,[89],
"
                App I'm working on: https://github.com/mhiga701/safesteps-frontend/tree/beta-test-start
To reproduce:

Clone repo @ url
Run ./setup.sh to install dependencies
Run ./prebuild.sh (which is just npx expo ...
            ",[90],"ENOENT: no such file or directory, copyfile"
,[91],
,[92],
,[93],
,[94],
"
                App I'm working on: https://github.com/mhiga701/safesteps-frontend/tree/beta-test-start
To reproduce:

Clone repo @ url
Run ./setup.sh to install dependencies
Run ./prebuild.sh (which is just npx expo ...
            ",[95],"ENOENT: no such file or directory, copyfile"
,[96],
,[97],
,[98],
"
                I know many people try to support multiple time zones when building a SaaS app for example and one example is like a golang app that need to support multiple timezones
standard is store time in DB in ...
            ",[99],Why not UTC offsets instead of a huge list global timezones?
,[100],
,[101],
,[102],
,[103],
"
                I know many people try to support multiple time zones when building a SaaS app for example and one example is like a golang app that need to support multiple timezones
standard is store time in DB in ...
            ",[104],Why not UTC offsets instead of a huge list global timezones?
,[105],
,[106],
,[107],
"
                I am trying to write a simple neural net implementation with Iris dataset. However, when I try to use the softmax as the last activation layer. I got the following error:

RuntimeWarning: invalid ...
            ",[108],simple neural net implementation
,[109],
,[110],
,[111],
,[112],
"
                I am trying to write a simple neural net implementation with Iris dataset. However, when I try to use the softmax as the last activation layer. I got the following error:

RuntimeWarning: invalid ...
            ",[113],simple neural net implementation
,[114],
,[115],
,[116],
"
                I'm using gulp 5.0.0
It's my task:
gulp.task(""theme"", async () => {
  const destBasePath = ""src/assets/vendors/theme/"";
  gulp.src([""../../docs/theme/theme.js""])
    ....
            ",[117],"Copy files from two level parents directory, Gulp?"
,[118],
,[119],
,[120],
,[121],
"
                I'm using gulp 5.0.0
It's my task:
gulp.task(""theme"", async () => {
  const destBasePath = ""src/assets/vendors/theme/"";
  gulp.src([""../../docs/theme/theme.js""])
    ....
            ",[122],"Copy files from two level parents directory, Gulp?"
,[123],
,[124],
,[125],
"
                I got error lihe this on my website, anyone can help?
link: https://atisweb.airnavteknik.id/. My website is hosted on NiagaHoster use Ubuntu server and Nginx web-server
I have tried searching for ...
            ",[126],Server Responded With 404 NOT-FOUND [closed]
,[127],
,[128],
,[129],
,[130],
"
                I got error lihe this on my website, anyone can help?
link: https://atisweb.airnavteknik.id/. My website is hosted on NiagaHoster use Ubuntu server and Nginx web-server
I have tried searching for ...
            ",[131],Server Responded With 404 NOT-FOUND [closed]
,[132],
,[133],
,[134],
